vul_id	cve_id	github_reviewed	name	ecosystem	purl	repo	ranges_introduced	ranges_fixed	ranges_last_affected	versions
GHSA-6q48-vjq2-mwcj	CVE-2020-7628	True	umount	npm	pkg:npm/umount	SEMVER	0	None_fixed	1.1.6	[]
GHSA-6q48-vjq2-mwcj	CVE-2020-7628	True	umount	npm	pkg:npm/umount	SEMVER	None_introduced	None_fixed	None_last_affected	[]
GHSA-2rq5-699j-x7p6	CVE-2023-25345	True	swig-templates	npm	pkg:npm/swig-templates	SEMVER	0	None_fixed	2.0.4	[]
GHSA-2rq5-699j-x7p6	CVE-2023-25345	True	swig-templates	npm	pkg:npm/swig-templates	SEMVER	None_introduced	None_fixed	None_last_affected	[]
GHSA-2rq5-699j-x7p6	CVE-2023-25345	True	swig	npm	pkg:npm/swig	SEMVER	0	None_fixed	1.4.2	[]
GHSA-2rq5-699j-x7p6	CVE-2023-25345	True	swig	npm	pkg:npm/swig	SEMVER	None_introduced	None_fixed	None_last_affected	[]
GHSA-c942-mfmp-p4fh	CVE-2022-41709	True	electron-markdownify	npm	pkg:npm/electron-markdownify	SEMVER	0	None_fixed	1.4.1	[]
GHSA-c942-mfmp-p4fh	CVE-2022-41709	True	electron-markdownify	npm	pkg:npm/electron-markdownify	SEMVER	None_introduced	None_fixed	None_last_affected	[]
GHSA-23cm-x6j7-6hq3	CVE-2021-40823	True	matrix-js-sdk	npm	pkg:npm/matrix-js-sdk	SEMVER	0	12.4.1	None_last_affected	[]
GHSA-mvjj-gqq2-p4hw	CVE-2018-6341	True	react-dom	npm	pkg:npm/react-dom	SEMVER	16.0.0	16.0.1	None_last_affected	['16.0.0']
GHSA-mvjj-gqq2-p4hw	CVE-2018-6341	True	react-dom	npm	pkg:npm/react-dom	SEMVER	16.1.0	16.1.2	None_last_affected	[]
GHSA-mvjj-gqq2-p4hw	CVE-2018-6341	True	react-dom	npm	pkg:npm/react-dom	SEMVER	16.2.0	16.2.1	None_last_affected	['16.2.0']
GHSA-mvjj-gqq2-p4hw	CVE-2018-6341	True	react-dom	npm	pkg:npm/react-dom	SEMVER	16.3.0	16.3.3	None_last_affected	[]
GHSA-mvjj-gqq2-p4hw	CVE-2018-6341	True	react-dom	npm	pkg:npm/react-dom	SEMVER	16.4.0	16.4.2	None_last_affected	[]
GHSA-6q8m-42qq-64r7	CVE-2021-4326	True	@zowe/imperative	npm	pkg:npm/%40zowe/imperative	SEMVER	5.0.0	5.7.1	None_last_affected	[]
GHSA-6q8m-42qq-64r7	CVE-2021-4326	True	@zowe/imperative	npm	pkg:npm/%40zowe/imperative	SEMVER	0	4.18.10	None_last_affected	[]
GHSA-432j-4fw9-2g6f	CVE-2016-10668	True	libsbml	npm	pkg:npm/libsbml	SEMVER	0	None_fixed	0.0.2	[]
GHSA-432j-4fw9-2g6f	CVE-2016-10668	True	libsbml	npm	pkg:npm/libsbml	SEMVER	None_introduced	None_fixed	None_last_affected	[]
GHSA-g7mq-rfj2-25wq	CVE-2021-23390	True	total4	npm	pkg:npm/total4	SEMVER	0	0.0.43	None_last_affected	[]
GHSA-h9x2-5rm7-x4gm	CVE-2015-9238	True	secure-compare	npm	pkg:npm/secure-compare	SEMVER	0	3.0.1	None_last_affected	[]
GHSA-cff8-x7jv-4fm8	CVE-2024-45596	True	directus	npm	pkg:npm/directus	SEMVER	0	10.13.3	None_last_affected	[]
GHSA-cff8-x7jv-4fm8	CVE-2024-45596	True	directus	npm	pkg:npm/directus	SEMVER	11.0.0-rc.1	11.1.0	None_last_affected	[]
GHSA-cff8-x7jv-4fm8	CVE-2024-45596	True	@directus/api	npm	pkg:npm/%40directus/api	SEMVER	0	21.0.1	None_last_affected	[]
GHSA-cff8-x7jv-4fm8	CVE-2024-45596	True	@directus/api	npm	pkg:npm/%40directus/api	SEMVER	22.0.0	22.2.0	None_last_affected	[]
GHSA-rc3x-jf5g-xvc5	CVE-2021-23495	True	karma	npm	pkg:npm/karma	SEMVER	0	6.3.16	None_last_affected	[]
GHSA-qq89-hq3f-393p	CVE-2021-37712	True	tar	npm	pkg:npm/tar	SEMVER	3.0.0	4.4.18	None_last_affected	[]
GHSA-qq89-hq3f-393p	CVE-2021-37712	True	tar	npm	pkg:npm/tar	SEMVER	5.0.0	5.0.10	None_last_affected	[]
GHSA-qq89-hq3f-393p	CVE-2021-37712	True	tar	npm	pkg:npm/tar	SEMVER	6.0.0	6.1.9	None_last_affected	[]
GHSA-xg59-m7wx-853q	CVE-2019-10756	True	node-red-dashboard	npm	pkg:npm/node-red-dashboard	SEMVER	0	2.17.0	None_last_affected	[]
GHSA-hgjh-723h-mx2j	CVE-2022-0686	True	url-parse	npm	pkg:npm/url-parse	SEMVER	0	1.5.8	None_last_affected	[]
