vul_id	cve_id	github_reviewed	name	ecosystem	purl	repo	ranges_introduced	ranges_fixed	ranges_last_affected	versions
GO-2024-2567		False	github.com/jackc/pgx/v5	Go	pkg:golang/github.com/jackc/pgx/v5	SEMVER	5.0.0-alpha.5	5.5.2	None_last_affected	[]
GHSA-xm99-6pv5-q363		True	github.com/kardianos/service	Go	pkg:golang/github.com/kardianos/service	SEMVER	0	None_fixed	1.2.1	[]
GHSA-xm99-6pv5-q363		True	github.com/kardianos/service	Go	pkg:golang/github.com/kardianos/service	SEMVER	None_introduced	None_fixed	None_last_affected	[]
GO-2025-3517		False	github.com/cosmos/ibc-go	Go	pkg:golang/github.com/cosmos/ibc-go	SEMVER	0	None_fixed	None_last_affected	[]
GO-2025-3517		False	github.com/cosmos/ibc-go/v2	Go	pkg:golang/github.com/cosmos/ibc-go/v2	SEMVER	0	None_fixed	None_last_affected	[]
GO-2025-3517		False	github.com/cosmos/ibc-go/v3	Go	pkg:golang/github.com/cosmos/ibc-go/v3	SEMVER	0	None_fixed	None_last_affected	[]
GO-2025-3517		False	github.com/cosmos/ibc-go/v4	Go	pkg:golang/github.com/cosmos/ibc-go/v4	SEMVER	0	None_fixed	None_last_affected	[]
GO-2025-3517		False	github.com/cosmos/ibc-go/v5	Go	pkg:golang/github.com/cosmos/ibc-go/v5	SEMVER	0	None_fixed	None_last_affected	[]
GO-2025-3517		False	github.com/cosmos/ibc-go/v6	Go	pkg:golang/github.com/cosmos/ibc-go/v6	SEMVER	0	None_fixed	None_last_affected	[]
GO-2025-3517		False	github.com/cosmos/ibc-go/v7	Go	pkg:golang/github.com/cosmos/ibc-go/v7	SEMVER	0	7.10.0	None_last_affected	[]
GO-2025-3517		False	github.com/cosmos/ibc-go/v8	Go	pkg:golang/github.com/cosmos/ibc-go/v8	SEMVER	8.0.0-alpha.1	8.7.0	None_last_affected	[]
GO-2024-2571		False	github.com/cosmos/cosmos-sdk	Go	pkg:golang/github.com/cosmos/cosmos-sdk	SEMVER	0	0.47.9	None_last_affected	[]
GHSA-v6rw-hhgg-wc4x		True	github.com/evmos/evmos/v11	Go	pkg:golang/github.com/evmos/evmos/v11	SEMVER	0	12.0.0	None_last_affected	[]
GO-2025-3686		False	github.com/babylonlabs-io/babylon	Go	pkg:golang/github.com/babylonlabs-io/babylon	SEMVER	0	None_fixed	None_last_affected	[]
GHSA-5423-jcjm-2gpv		True	github.com/traefik/traefik/v2	Go	pkg:golang/github.com/traefik/traefik/v2	SEMVER	0	2.11.24	None_last_affected	[]
GHSA-5423-jcjm-2gpv		True	github.com/traefik/traefik/v3	Go	pkg:golang/github.com/traefik/traefik/v3	SEMVER	0	3.3.6	None_last_affected	[]
GHSA-5423-jcjm-2gpv		True	github.com/traefik/traefik/v3	Go	pkg:golang/github.com/traefik/traefik/v3	SEMVER	3.4.0-rc1	3.4.0-rc2	None_last_affected	['3.4.0-rc1']
GHSA-34vw-m4rh-r36p		True	github.com/talos-systems/talos	Go	pkg:golang/github.com/talos-systems/talos	SEMVER	0	1.2.0	None_last_affected	[]
GHSA-vhxv-fg4m-p2w8		True	github.com/jub0bs/cors	Go	pkg:golang/github.com/jub0bs/cors	SEMVER	0	0.1.3	None_last_affected	[]
GHSA-rvj4-q8q5-8grf		True	github.com/traefik/traefik/v3	Go	pkg:golang/github.com/traefik/traefik/v3	SEMVER	0	3.0.3	None_last_affected	[]
GHSA-rvj4-q8q5-8grf		True	github.com/traefik/traefik/v2	Go	pkg:golang/github.com/traefik/traefik/v2	SEMVER	0	2.11.5	None_last_affected	[]
GHSA-x7xj-jvwp-97rv		True	github.com/rancher/rke2	Go	pkg:golang/github.com/rancher/rke2	SEMVER	1.27.0	1.27.15	None_last_affected	[]
GHSA-x7xj-jvwp-97rv		True	github.com/rancher/rke2	Go	pkg:golang/github.com/rancher/rke2	SEMVER	1.28.0	1.28.11	None_last_affected	[]
GHSA-x7xj-jvwp-97rv		True	github.com/rancher/rke2	Go	pkg:golang/github.com/rancher/rke2	SEMVER	1.29.0	1.29.6	None_last_affected	[]
GHSA-x7xj-jvwp-97rv		True	github.com/rancher/rke2	Go	pkg:golang/github.com/rancher/rke2	SEMVER	1.30.0	1.30.2	None_last_affected	[]
GHSA-jr8j-2jhp-m67v		True	github.com/siderolabs/talos	Go	pkg:golang/github.com/siderolabs/talos	SEMVER	0	1.2.0	None_last_affected	[]
GHSA-f6jh-hvg2-9525		True	github.com/kudelskisecurity/crystals-go	Go	pkg:golang/github.com/kudelskisecurity/crystals-go	SEMVER	0	0.0.0-20240116172146-2a6ca2d4e64d	None_last_affected	[]
GO-2022-0424		False	github.com/github/git-sizer	Go	pkg:golang/github.com/github/git-sizer	SEMVER	0	1.4.0	None_last_affected	[]
GHSA-vqv5-385r-2hf8		True	github.com/edgelesssys/contrast	Go	pkg:golang/github.com/edgelesssys/contrast	SEMVER	0	1.4.1	None_last_affected	[]
GHSA-3m87-5598-2v4f		True	github.com/prometheus/prometheus	Go	pkg:golang/github.com/prometheus/prometheus	SEMVER	0	2.7.1	None_last_affected	[]
GO-2024-3182		False	github.com/opentofu/opentofu	Go	pkg:golang/github.com/opentofu/opentofu	SEMVER	1.8.0	1.8.3	None_last_affected	[]
GO-2022-0473		False	gogs.io/gogs	Go	pkg:golang/gogs.io/gogs	SEMVER	0	0.12.8	None_last_affected	[]
GO-2024-2951		False	github.com/cometbft/cometbft	Go	pkg:golang/github.com/cometbft/cometbft	SEMVER	0.37.0	0.37.7	None_last_affected	[]
GHSA-28q9-9c3g-v3f9		True	github.com/treeverse/lakefs	Go	pkg:golang/github.com/treeverse/lakefs	SEMVER	0	0.82.0	None_last_affected	[]
GHSA-qvqg-6rp8-4p9h		True	github.com/ipfs/kubo	Go	pkg:golang/github.com/ipfs/kubo	SEMVER	0	0.19.0	None_last_affected	[]
GHSA-f28g-86hc-823q		True	github.com/superfly/tokenizer	Go	pkg:golang/github.com/superfly/tokenizer	SEMVER	0	0.0.1	None_last_affected	[]
GO-2024-2880		False	github.com/traefik/traefik	Go	pkg:golang/github.com/traefik/traefik	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2880		False	github.com/traefik/traefik/v2	Go	pkg:golang/github.com/traefik/traefik/v2	SEMVER	0	2.11.3	None_last_affected	[]
GO-2024-2880		False	github.com/traefik/traefik/v3	Go	pkg:golang/github.com/traefik/traefik/v3	SEMVER	0	3.0.1	None_last_affected	[]
GHSA-h2rp-8vpx-q9r4		True	github.com/cheqd/cheqd-node	Go	pkg:golang/github.com/cheqd/cheqd-node	SEMVER	0	3.1.8	None_last_affected	[]
MAL-2025-2551		False	github.com/vainreboot/layout	Go	pkg:golang/github.com/vainreboot/layout	SEMVER	0	None_fixed	None_last_affected	[]
GO-2023-1747		False	github.com/ory/oathkeeper	Go	pkg:golang/github.com/ory/oathkeeper	SEMVER	0	0.40.3	None_last_affected	[]
GHSA-9h6h-9g78-86f7		True	github.com/fkie-cad/yapscan	Go	pkg:golang/github.com/fkie-cad/yapscan	SEMVER	0.18.0	0.19.1	None_last_affected	[]
GO-2024-2584		False	github.com/cosmos/cosmos-sdk	Go	pkg:golang/github.com/cosmos/cosmos-sdk	SEMVER	0	0.47.10	None_last_affected	[]
GO-2025-3448		False	github.com/CosmWasm/wasmvm	Go	pkg:golang/github.com/CosmWasm/wasmvm	SEMVER	0	1.5.8	None_last_affected	[]
GO-2025-3448		False	github.com/CosmWasm/wasmvm/v2	Go	pkg:golang/github.com/CosmWasm/wasmvm/v2	SEMVER	0	2.0.6	None_last_affected	[]
GO-2025-3448		False	github.com/CosmWasm/wasmvm/v2	Go	pkg:golang/github.com/CosmWasm/wasmvm/v2	SEMVER	0	2.1.5	None_last_affected	[]
GO-2025-3448		False	github.com/CosmWasm/wasmvm/v2	Go	pkg:golang/github.com/CosmWasm/wasmvm/v2	SEMVER	0	2.2.2	None_last_affected	[]
GO-2020-0011		False	github.com/square/go-jose	Go	pkg:golang/github.com/square/go-jose	SEMVER	0	0.0.0-20160922232413-2c5656adca99	None_last_affected	[]
GHSA-7f6p-phw2-8253		True	github.com/taurusgroup/multi-party-sig	Go	pkg:golang/github.com/taurusgroup/multi-party-sig	SEMVER	0	0.7.0-alpha-2025-01-28	None_last_affected	[]
GHSA-6c73-2v8x-qpvm		True	github.com/argoproj/argo-workflows/v3	Go	pkg:golang/github.com/argoproj/argo-workflows/v3	SEMVER	3.0.0	3.0.9	None_last_affected	[]
