vul_id	cve_id	github_reviewed	name	ecosystem	purl	repo	ranges_introduced	ranges_fixed	ranges_last_affected	versions
GO-2024-3032	CVE-2024-39837	False	github.com/mattermost/mattermost-server/v5	Go	pkg:golang/github.com/mattermost/mattermost-server/v5	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-3032	CVE-2024-39837	False	github.com/mattermost/mattermost-server/v6	Go	pkg:golang/github.com/mattermost/mattermost-server/v6	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-3032	CVE-2024-39837	False	github.com/mattermost/mattermost/server/v8	Go	pkg:golang/github.com/mattermost/mattermost/server/v8	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2789	CVE-2024-1139	False	github.com/openshift/cluster-monitoring-operator	Go	pkg:golang/github.com/openshift/cluster-monitoring-operator	SEMVER	0	None_fixed	None_last_affected	[]
GHSA-grfp-q2mm-hfp6	CVE-2020-15234	True	github.com/ory/fosite	Go	pkg:golang/github.com/ory/fosite	SEMVER	0	0.34.1	None_last_affected	[]
GO-2023-2018	CVE-2023-40025	False	github.com/argoproj/argo-cd	Go	pkg:golang/github.com/argoproj/argo-cd	SEMVER	0	None_fixed	None_last_affected	[]
GO-2023-2018	CVE-2023-40025	False	github.com/argoproj/argo-cd/v2	Go	pkg:golang/github.com/argoproj/argo-cd/v2	SEMVER	2.6.0	2.6.14	None_last_affected	[]
GHSA-qppj-fm5r-hxr3	CVE-2023-44487	True	golang.org/x/net	Go	pkg:golang/golang.org/x/net	SEMVER	0	0.17.0	None_last_affected	[]
GHSA-qppj-fm5r-hxr3	CVE-2023-44487	True	google.golang.org/grpc	Go	pkg:golang/google.golang.org/grpc	SEMVER	1.58.0	1.58.3	None_last_affected	[]
GHSA-qppj-fm5r-hxr3	CVE-2023-44487	True	google.golang.org/grpc	Go	pkg:golang/google.golang.org/grpc	SEMVER	1.57.0	1.57.1	None_last_affected	[]
GHSA-qppj-fm5r-hxr3	CVE-2023-44487	True	google.golang.org/grpc	Go	pkg:golang/google.golang.org/grpc	SEMVER	0	1.56.3	None_last_affected	[]
GHSA-w7qr-q9fh-fj35	CVE-2024-47182	True	github.com/amir20/dozzle	Go	pkg:golang/github.com/amir20/dozzle	SEMVER	0	8.5.3	None_last_affected	[]
GO-2025-3583	CVE-2025-29072	False	github.com/NethermindEth/juno	Go	pkg:golang/github.com/NethermindEth/juno	SEMVER	0	0.12.5	None_last_affected	[]
